series,baker,age,star_baker,technical_winner,technical_top3,technical_highest,technical_lowest,technical_median,series_winner,bread_technical,bread_result,patisserie_technical,patisserie_result
2,Ben,31,0,1,3,1,5,2.5,0,3,IN,0,OUT
2,Holly,31,2,2,5,1,6,3,0,6,IN,1,IN
2,Ian,40,0,0,1,2,10,10,0,10,OUT,0,OUT
2,Janet,63,1,1,1,1,8,5,0,8,IN,4,OUT
2,Jason,19,2,1,2,1,7,6,0,7,IN,0,OUT
2,Joanne,41,1,3,4,1,11,4.5,1,1,IN,3,IN
2,Keith,31,0,0,0,12,12,12,0,0,OUT,0,OUT
2,Mary-Anne,45,0,0,4,2,9,3.5,0,5,IN,2,IN
2,Robert,25,0,0,2,3,7,4,0,4,IN,0,OUT
2,Simon,31,0,0,0,9,11,10,0,0,OUT,0,OUT
2,Urvashi,40,0,0,0,7,9,7,0,9,OUT,0,OUT
2,Yasmin,43,1,0,2,2,6,5,0,2,STARBAKER,0,OUT
3,Brendan,63,2,2,6,1,10,3,0,4,IN,3,IN
3,Cathryn,27,0,1,4,1,8,4,0,8,IN,0,OUT
3,Danny,45,1,0,5,2,7,3,0,3,IN,4,OUT
3,James,21,3,5,7,1,7,1.5,0,2,IN,1,STARBAKER
3,John,23,1,1,6,1,11,3,1,1,STARBAKER,2,IN
3,Manisha,27,0,0,0,5,10,6,0,6,IN,0,OUT
3,Natasha,36,0,0,0,12,12,12,0,0,IN,0,OUT
3,Peter,43,0,0,1,3,11,7,0,11,OUT,0,OUT
3,Ryan,38,1,0,0,5,8,6,0,5,IN,0,OUT
3,Sarah-Jane,28,0,1,1,1,10,4,0,10,IN,0,OUT
3,Victoria,50,1,0,0,4,7,4,0,7,IN,0,OUT
3,Stuart,26,0,0,0,7,9,8.5,0,9,IN,0,OUT
4,Ali,25,0,0,0,5,11,8.5,0,9,IN,0,OUT
4,Beca,31,0,1,3,1,11,5,0,11,IN,3,OUT
4,Christine,66,2,1,2,1,7,4,0,4,IN,0,OUT
4,Deborah,51,0,0,0,8,9,9,0,8,IN,0,OUT
4,Frances,31,1,1,7,1,8,3,1,2,IN,2,IN
4,Glenn,37,0,1,3,1,9,4,0,7,IN,0,OUT
4,Howard,51,0,0,0,5,10,7,0,10,IN,0,OUT
4,Kimberley,30,2,3,5,1,10,3.5,0,1,IN,1,STARBAKER
4,Lucy,38,0,0,1,2,12,7,0,12,OUT,0,OUT
4,Mark,37,0,0,0,5,11,6,0,6,IN,0,OUT
4,Robert,54,1,1,3,1,5,3,0,5,IN,0,OUT
4,Ruby,20,3,2,6,1,12,3,0,3,STARBAKER,4,IN
4,Toby,30,0,0,0,13,13,13,0,0,OUT,0,OUT
5,Chetna,35,1,1,5,1,8,3,0,8,IN,4,OUT
5,Claire,31,0,0,0,8,8,8,0,0,OUT,0,OUT
5,Diana,69,0,0,0,5,9,7,0,7,IN,0,OUT
5,Enwezor,39,0,0,0,9,9,9,0,0,OUT,0,OUT
5,Iain,31,0,0,0,4,11,7.5,0,9,IN,0,OUT
5,Jordan,32,0,0,0,6,12,10,0,10,OUT,0,OUT
5,Kate,41,1,1,2,1,7,4,0,1,IN,0,OUT
5,Luis,42,1,1,7,1,7,2.5,0,2,STARBAKER,1,IN
5,Martha,17,0,2,5,1,5,3,0,3,IN,0,OUT
5,Nancy,60,1,3,7,1,5,2.5,1,5,IN,3,IN
5,Norman,66,0,0,0,4,11,8,0,4,IN,0,OUT
5,Richard,38,5,2,4,1,10,4.5,0,6,IN,2,IN
6,Alvin,37,0,0,1,2,9,6,0,4,IN,0,OUT
6,Dorret,53,0,1,1,1,6,5,0,6,OUT,0,OUT
6,Flora,19,0,1,7,1,6,3,0,2,IN,3,IN
6,Ian,41,3,1,6,1,8,3,0,1,STARBAKER,2,IN
6,Marie,66,1,0,1,3,11,7,0,0,OUT,0,OUT
6,Mat,37,1,1,1,1,8,6,0,8,IN,0,OUT
6,Nadiya,30,3,4,4,1,12,4,1,9,IN,1,STARBAKER
6,Paul,49,0,1,3,1,10,5,0,10,IN,5,OUT
6,Sandy,49,0,0,0,4,9,6.5,0,7,IN,0,OUT
6,Stu,35,0,0,0,11,11,11,0,0,OUT,0,OUT
6,Tamal,29,1,0,4,2,8,4,0,3,IN,4,IN
6,Ugne,32,0,1,2,1,7,5,0,5,IN,0,OUT
7,Andrew,25,2,2,5,1,12,3,0,2,IN,2,STARBAKER
7,Benjamina,23,1,1,4,1,6,3.5,0,6,IN,0,OUT
7,Candice,31,3,1,7,1,8,2.5,1,3,IN,3,IN
7,Jane,61,1,2,5,1,9,3.5,0,9,IN,1,IN
7,Kate,37,0,1,1,1,8,5.5,0,8,IN,0,OUT
7,Lee,67,0,0,0,11,11,11,0,0,OUT,0,OUT
7,Louise,46,0,0,0,9,10,9.5,0,0,OUT,0,OUT
7,Michael,20,0,0,1,3,9,7,0,7,OUT,0,OUT
7,Rav,28,0,0,1,3,10,8,0,10,IN,0,OUT
7,Selasi,30,0,1,3,1,11,5,0,5,IN,4,OUT
7,Tom,26,2,1,2,1,7,4,0,4,STARBAKER,0,OUT
7,Val,66,0,1,1,1,10,6,0,1,IN,0,OUT
8,Chris,50,0,0,0,11,12,11.5,0,0,OUT,0,OUT
8,Flo,71,0,0,0,7,10,9,0,7,OUT,0,OUT
8,James,46,0,0,3,2,9,3,0,9,IN,0,OUT
8,Julia,21,1,0,3,2,9,3.5,0,2,STARBAKER,0,OUT
8,Kate,29,1,1,3,1,10,5.5,0,10,IN,4,IN
8,Liam,19,1,0,3,2,8,4.5,0,5,IN,0,OUT
8,Peter,52,0,0,0,10,10,10,0,0,OUT,0,OUT
8,Sophie,33,2,2,6,1,6,2.5,1,6,IN,1,STARBAKER
8,Stacey,42,1,2,4,1,11,4,0,1,IN,2,OUT
8,Steven,34,3,3,6,1,7,3,0,3,IN,3,IN
8,Tom,29,0,0,0,4,7,5,0,4,IN,0,OUT
8,Yan,46,0,2,2,1,8,5,0,8,IN,0,OUT
9,Antony,30,0,0,0,8,12,9,0,8,OUT,0,OUT
9,Briony,33,1,2,4,1,9,5,0,9,IN,3,OUT
9,Danny,36,1,1,3,1,6,3.5,0,6,IN,0,OUT
9,Imelda,33,0,0,0,11,11,11,0,0,OUT,0,OUT
9,Jon,47,0,1,4,1,7,3,0,2,IN,0,OUT
9,Karen,60,0,0,0,5,11,7,0,5,IN,0,OUT
9,Kim-Joy,27,2,1,3,1,10,4.5,0,10,IN,2,IN
9,Luke,30,0,0,0,7,8,7.5,0,0,OUT,0,OUT
9,Manon,26,1,0,3,2,8,4,0,3,IN,0,OUT
9,Rahul,30,2,1,5,1,7,3.5,1,4,STARBAKER,4,IN
9,Ruby,29,2,3,7,1,10,3,0,7,IN,1,IN
9,Terry,56,0,1,1,1,9,8,0,1,IN,0,OUT
10,Alice,28,2,2,4,1,8,4.5,0,7,IN,4,IN
10,Amelia,24,0,0,0,4,11,9,0,11,OUT,0,OUT
10,Danny,32,0,0,0,9,9,9,0,0,OUT,0,OUT
10,David,36,0,2,8,1,10,2,1,2,IN,2,IN
10,Helena,40,0,1,1,1,12,9,0,8,IN,0,OUT
10,Henry,20,1,2,5,1,6,3,0,1,IN,0,OUT
10,Jamie,20,0,0,0,11,13,12,0,0,OUT,0,OUT
10,Michael,26,1,0,0,4,11,6,0,6,STARBAKER,0,OUT
10,Michelle,35,1,0,0,5,8,6,0,5,IN,0,OUT
10,Phil,56,0,0,1,3,10,7,0,10,IN,0,OUT
10,Priya,34,0,0,1,2,10,7,0,4,IN,0,OUT
10,Rosie,28,0,2,4,1,9,4,0,9,IN,1,OUT
10,Steph,28,4,1,6,1,10,3,0,3,IN,3,IN
11,Dave,30,1,2,4,1,9,5,0,9,IN,3,IN
11,Hermine,39,2,1,4,1,7,4,0,7,IN,2,OUT
11,Laura,31,1,1,3,1,7,5,0,6,IN,4,IN
11,Linda,61,0,2,2,1,12,4,0,1,IN,0,OUT
11,Loriea,27,0,0,0,10,10,10,0,0,OUT,0,OUT
11,Lottie,31,1,0,1,2,9,5,0,5,IN,0,OUT
11,Makbul,51,0,0,1,3,8,5.5,0,0,OUT,0,OUT
11,Marc,51,1,0,3,2,11,5.5,0,2,STARBAKER,0,OUT
11,Mark,32,1,0,4,2,7,3,0,3,IN,0,OUT
11,Peter,20,2,3,6,1,10,2,1,4,IN,1,IN
11,Rowan,55,0,0,1,3,11,10,0,10,OUT,0,OUT
11,Sura,31,0,1,1,1,8,6.5,0,8,IN,0,OUT