series,episode,baker,result,signature,signature_ingredients,showstopper,showstopper_ingredients
10,5,Jamie,NA,NA,NA,NA,NA
10,5,Phil,NA,NA,NA,NA,NA
10,6,Alice,IN,Black Forest Meringue,"chocolate, chocolate mousse, cherry compote, cherry buttercream",Tiramisu Bombe,"espresso, espresso chocolate mousse, pistachio parfait, praline, spiced rum mascarpone cream"
10,6,David,IN,Spiced Meringue Surprise,"clove, cinnamon, star anise, figs, blackberries, vanilla crème diplomat",Delightful Bombe,"white chocolate and raspberry mousse, lemon and shiso leaf sorbet, raspberry and rose water jelly"
10,6,Henry,IN,Towering Meringue Cake,"pistachio, chocolate crème patissiere, raspberries, chocolate",Bonfire Bombe,"cinnamon meringue, bramley apple mousse, spiced honey mousse, cinnamon chanilly cream"
10,6,Michael,IN,Dark Chocolate Meringue Cake,"chocolate, orange crème au beurre, hazelnut, dark chocolate and orange ganache, orange liqueur",Black Forest Bombe,"cherry jelly, chocolate and almond mousse, chocolate and cherry italian meringue, cherry cheesecake, freeze-dried cherries"
10,6,Rosie,IN,Layers of Lime and Raspberry,"salted caramel, raspberry and lime curd, chocolate ganache, raspberry cream",Ruby Bombe,"mango bavarois, honey cake, lemon, hibiscus mousse, caramelised salted white chocolate"
10,6,Priya,OUT,Family Favourite,"amaretto crème patissiere, almond, blueberry crème au beurre",Summer Fruit Bombe,"crème de cassis blackcurrant liqueur, dark chocolate mousse, summer fruit bavarois, dark chocolate ganache, raspberry meringue shards"
10,6,Steph,STAR BAKER,Eton Mess,"pistachio, raspberries, white chocolate cream cheese",Mirror Bombe,"coffee bavarois, dark chocolate mousse, amaretto, joconde sponge, chocolate"
10,6,Amelia,NA,NA,NA,NA,NA
10,6,Dan,NA,NA,NA,NA,NA
10,6,Helena,NA,NA,NA,NA,NA
10,6,Jamie,NA,NA,NA,NA,NA
10,6,Michelle,NA,NA,NA,NA,NA
10,6,Phil,NA,NA,NA,NA,NA
10,7,Alice,IN,"Lemon, Blueberry & Almond Hot Cross Buns","lemon zest, blueberry, almond, freeze-dried blueberries, lemon curd glaze","Chocolate, Orange and Salted Caramel Kaleidoscope Sarawak Style Layered Cake",
10,7,David,IN,Kozunak Plaits,"raisins, lemon, almond, malt powder",Sarawak Style Layer Cake Sculpture,"cloves, cinnamon, cardamom, nutmeg"
10,7,Rosie,IN,Mardi Gras Finnish Semlor Peacock Festival Buns,"lemon and white chocolate namelaka, raspberry jam, candy",Rainbow Sarawak Style Layer Cake,"lemon, mixed spice, nectarine jam, royal icing"
10,7,Steph,IN,Zest and Spice Hot Cross Buns,"cranberries, sultanas, spiced glaze, orange zest, lemon zest, cinnamon, cloves, star anise",Orange and Chai Spiced Revitalise Cake,"orange liqueur syrup, royal icing, marzipan, orange, chai, spice"
10,7,Michael,OUT,Figgy Pudding Hot Cross Buns,"brandy glaze, marzipan, lemon zest, orange zest, fig, sultanas, cranberries, dates, apricots, brandy butter",Jamaican Mule Sarawak Style Layer Cake,"spiced rum and lime marzipan, royal icing, ginger and lime curd"
10,7,Henry,STAR BAKER,Chocolate Kardemummabullar,"chocolate, cardamom glaze, almond and chocolate crème patissiere",Elegant Present Box,"lemon, lime, raspberry and mint jam"
10,7,Amelia,NA,NA,NA,NA,NA
10,7,Dan,NA,NA,NA,NA,NA
10,7,Helena,NA,NA,NA,NA,NA
10,7,Jamie,NA,NA,NA,NA,NA
10,7,Michelle,NA,NA,NA,NA,NA
10,7,Phil,NA,NA,NA,NA,NA
10,7,Priya,NA,NA,NA,NA,NA
10,8,Alice,IN,"Leek, Apple & Goat's Cheese Tarte Tatin","leek, goat cheese, honey, thyme, granny smith apple",Apple Tree House Pie,"granny smith apple, blackberry, toasted pecans, caramel"
10,8,David,IN,Caramelly Carroty Tarte Tatin,"heritage carrot, walnut, shallots, carrot top pesto, whipped sirene",Whitby Fish Pie,"crab, salmon, root vegetables, whitby, "
10,8,Rosie,IN,"Shallot, Aubergine & Goat's Cheese Spiced Tarte Tatin","eggplant, shallot, black garlic, red pepper, goat cheese, spice",Rapunzel's Tower,"chillies, curried vegetables, roasted vegetables, camembert"
10,8,Henry,OUT,"Crab, Tomato & New Potato Tarte Tatin","crab, new potato, tomato, radish",Chandelier Picnic Pie,"ham, chicken, cranberries, apricot, blackberries, mint leaves, chorizo, cinnamon, chocolate, pecan"
10,8,Steph,STAR BAKER,Caramelised Onion & Goat's Cheese Tarte Tatin,"onion, shallots, goat cheese, balsamic venegar caramel, basil",Curried Chickpea & Potato Carousel,"chillies, chickpea and potato curry"
10,8,Amelia,NA,NA,NA,NA,NA
10,8,Dan,NA,NA,NA,NA,NA
10,8,Helena,NA,NA,NA,NA,NA
10,8,Jamie,NA,NA,NA,NA,NA
10,8,Michael,NA,NA,NA,NA,NA
10,8,Michelle,NA,NA,NA,NA,NA
10,8,Phil,NA,NA,NA,NA,NA
10,8,Priya,NA,NA,NA,NA,NA
10,9,David,IN,Aperitif Domed Tarts,"liqueur spritz, speritif jelly, leche flan, orange pastry disk, roasted rhubarb, hazelnuts",Greenhouse Growing Moss,"parsnip, beetroot, prunes, apricots, chocolate, almonds, hazelnuts, buttercream"
10,9,Steph,IN,"Raspberry, Lemon & White Chocolate Domed Tarts","white chocolate, raspberry jelly, lemon mousse, pate sablee, dark chocolate",A Night at the Opera,"chocolate, joconde sponge, chocolate orange macarons, chocolate ganache, orange crème au beurre"
10,9,Rosie,OUT,"Lemon, Raspberry & Mint Domed Tarts","pate sablee, lemon bavarian cream, raspberry gin, mint crème pat, yuzu jelly, lemon",Time with Family,"choux bun religieuse, mocha crème pat, brioche tarte tropezienne, chocolate tartlet, salted caramel crème, crème patissiere, chocolate ganache, orange sablee"
10,9,Alice,STAR BAKER,"Mocha, Hazelnut & Orange Domed Tarts","mocha mousse, espresso buttercream, orange curd, hazelnut praline paste, chocolate",Save Our Oceans,"lemon and honey custard, raspberry curd, chocolate, white chocolate bavarois, isomalt"
10,9,Amelia,NA,NA,NA,NA,NA
10,9,Dan,NA,NA,NA,NA,NA
10,9,Helena,NA,NA,NA,NA,NA
10,9,Henry,NA,NA,NA,NA,NA
10,9,Jamie,NA,NA,NA,NA,NA
10,9,Michael,NA,NA,NA,NA,NA
10,9,Michelle,NA,NA,NA,NA,NA
10,9,Phil,NA,NA,NA,NA,NA
10,9,Priya,NA,NA,NA,NA,NA
10,10,Alice,Runner-up,"Chocolate, Pear, Ginger and Maple Cake","pears, chocolate, ginger, dark chocolate ganache, maple cream cheese buttercream, hazelnut brittle, red win,e cinnamon",End of the School Year Celebration Picnic,"raspberry, prosecco, orange, cardamom, carrot, blueberry, lemon curd, lemon cream cheese"
10,10,Steph,Runner-up,Black Forest Chocolate Cake,"chocolate ganache, kirsch chantilly cream, cherry jam, cherries",Picnic in the Park,"spiced orange, almond, lemon, poppy seed, coconut"
10,10,David,WINNER,"Chocolate, Armagnac and Prune Cake","prune, armagnac syrup, armagnac cream, chocolate, dark chocolate, cocoa powder, vanilla syrup",Peachy Pic-Nik,"saffron, orange blossom water, orange, apricot, fig, lemon"
10,10,Amelia,NA,NA,NA,NA,NA
10,10,Dan,NA,NA,NA,NA,NA
10,10,Helena,NA,NA,NA,NA,NA
10,10,Henry,NA,NA,NA,NA,NA
10,10,Jamie,NA,NA,NA,NA,NA
10,10,Michael,NA,NA,NA,NA,NA
10,10,Michelle,NA,NA,NA,NA,NA
10,10,Phil,NA,NA,NA,NA,NA
10,10,Priya,NA,NA,NA,NA,NA
10,10,Rosie,NA,NA,NA,NA,NA
11,1,Dave,IN,Chocolate Espresso Martini Battenberg Cake,"chocolate and coffee liqueur, vodka and coffee, vodka marzipan",Three Flavours of Tom DeLonge,"dark chocolate buttercream, mint, strawberry"
11,1,Hermine,IN,Chocolate & Orange Battenberg Cake,"orange liqueur marzipan, dark chocolate, orange",Ode to Lupita,"chocolate, coffee cream cheese icing,"
11,1,Laura,IN,Celebration of Summer Battenberg Cake,"raspberry ripple, coconut, butter cream",Lemon & Elderflower Freddie,"lemon and elderflower mascarpone cream, lemon, elderflower"
11,1,Linda,IN,Ambulance Battenberg Cake,raspberry buttercream,Lemon & Orange Bob Marley,"lemon, orange, lemon curd, orange curd, coconut rum mascarpone cream"
11,1,Loriea,OUT,Hot Summer's Day Treats Battenberg Cake,"bubble gum extract, cream soda syrup, cream soda flavouring, almond marzipan",,"scotch bonnect chilli, chocolate, spiced ginger and mango jam, swiss meringue buttercream"
11,1,Lottie,IN,Rhubarb and Custard Battenberg Cake,"rhubarb jam, custard",Coconut & Lime Louis Theroux,"coconut, lime, orange and chocolate buttercream"
11,1,Makbul,IN,East India Battenberg Cake,"pistachio marzipan, spiced stem ginger, orange",Tribute to Bill Bryson,"lemon, redcurrant jam, vanilla buttercream"
11,1,Marc,IN,Bittersweet Battenberg Cake,"sour cherry, chocolate, walnut, rosewater marzipan",Chocolate & Vanilla Ziggy,"chocolate, vanilla buttercream"
11,1,Mark,IN,Turkish Bazaar Inspired Battenberg Cake,"pistachio, cardamom, pomegranate, orange, almond and orange marzipan",Origin-ger of the Species' by Charles Darwin,"spiced ginger, coconut buttercream, chocolate and ginger ganache"
11,1,Peter,STAR BAKER,Gluten-Free Chocolate & Orange Battenberg Cake,"chocolate, pureed orange, chocolate and orange zest marzipan",In honour of Sir Chris,"strawberry jam, whipped double cream"
11,1,Rowan,IN,The Magic Flute' Battenberg Cake,"rose, vanilla, lemon",Let Them Eat Cake' – A Tribute To Marie Antoinette,"chocolate, kirsch-soaked cherries, white chocolate"
11,1,Sura,IN,Lemon & Orange Battenberg Cake,"lemon, orange",Ode to Attenborough,"coconut, raspberry italian meringue buttercream"
11,2,Dave,STAR BAKER,Feathered Chocolate Mango Florentines,"dried mango, white chocolate, milk chocolate, dark chocolate, candied peel",Waiting for Tacos',"cocoa powder, coffee, chocolate, brandy snap, amoretti"
11,2,Hermine,IN,Mango and Coconut Florentines,"dried mango, coconut, almond, ruby chocolate",Sakura Tea Set,"spiced ginger, royal icing"
11,2,Laura,IN,Salted Caramel Florentines,"almond, pecan, jumbo raisins, candied peel, milk chocolate, salted caramel",Celebration Afternoon Tea,"ginger, brandy snap"
11,2,Linda,IN,Flower Topped Florentines,"dark chocolate, crystallised ginger, brazil nuts, hazelnuts, pecans",High Tea in Amsterdam,"royal icing, rose water"
11,2,Loriea,OUT,NA,NA,NA,NA
11,2,Lottie,IN,Quarantine Florentines,"pistachio, almond, coconut, ginger, cour cherry, dark chocolate, white chocolate",Viking Victuals,"ginger, charcoal powder, brandy snap"
11,2,Makbul,OUT,Mango and Cumin Florentines,"dried mango, cumin seeds, cashew",Indian Chai Service,"ginger, naan khatai"
11,2,Marc,IN,"Ginger, Cherry and Pistachio Florentines","ruby chocolate, ginger, dried cherry",Morning Coffee 'n' Toast,"spiced ginger, fondant, buttercream"
11,2,Mark,IN,Mango Lassi Florentines,"cardamom, white chocolate, macademia nuts, dried mango","	Ethiopian Coffee Ceremony","coffee, cinnamon, charcoal powder"
11,2,Peter,IN,Sticky Toffee Florentines,"dark muscovado sugar, dates, almonds, pecans, sultanas, walnuts, caramalised white chocolate",Biscuit Burns Supper,"ginger, isomalt, brandy snap, scottish raspberry and oat cranachan cream"
11,2,Rowan,IN,Waistcoat Florentines,"almonds, orange, cherry, dried raspberry, caraway seeds, modeling chocolate",Worse Things Happen At Sea,"lemon, brandy snap, viennese biscuit"
11,2,Sura,IN,Sohan Florentines,"cardamom, saffron, rose water, almonds, pistachios",Speculaas Ramadan Tea Time,"cinnamon, nutmeg, ginger, black pepper, chocolate truffle, vanilla"
11,3,Dave,IN,Chilli Chocolate & Cheesy Bacon Soda Bread,"bacon, dried dill, dried chives, gruyere cheese, dark chocolates, dates, chilli, hazelnut",Grateful For My Home and Little Family',"mango, lime, chilli, hisbiscus, guava"
11,3,Hermine,IN,My Favourite Flavours Soda Bread,"salmon, gruyere cheese, chives, dried fruit, orange liqueur, cinnamon","	A Journey Back to France","mixed herb, parmesan"
11,3,Laura,IN,Nana Peg's Nicely Spiced and Cherrylicious Soda Bread,"chorizo, spring onion, chilli, cheddar, glace cherry, marzipan",Showstopping Musical Theatre Inspired Bread,"pancetta, gruyere cheese, red chilli oil"
11,3,Linda,IN,Cyflym Bara Soda Bread,"red chilli, green chilli, cheddar cheese, parmesan cheese, coriander, brandy soaked dried fruit",Fruits of our Labour' Black Olive Bread & Tiger Bread,"black olive, glaze"
11,3,Loriea,OUT,NA,NA,NA,NA
11,3,Lottie,IN,Blueberry Breakfast & Summertime Soda Bread,"blueberry, balsamic red onion, kalamata olives, smoked applewood cheese, maple bacon",My House In Bread,"cheddar, chorizo, sun-dried tomato, pesto"
11,3,Makbul,OUT,NA,NA,NA,NA
11,3,Marc,STAR BAKER,Cornish Soda Breads,"cornish kern cheese, grated beetroot, milk chocolate, white chocolate, dried cranberries, beetroot, kelp",The Dharma Wheel Bread Sheaf,"fennel seeds, caraway seeds, coriander seeds"
11,3,Mark,IN,Sausage & Stout Soda Bread,"sobrasada, irish sheep smoked cheese, irish stout, dark chocolate, honey",Orchard County Bread with Sweet Apple and Savoury Wild Garlic,"apple, hazelnut, cinnamon, wild garlic"
11,3,Peter,IN,Black Pudding & Ginger Beer Soda Bread,"black pudding, ginger beer, green ginger wine, oat, alnut, thyme, crystallised ginger",Edinburgh Cityscape Bread Plaque,"multigrain, poppy seeds"
11,3,Rowan,OUT,"Flavours of Italy	","italian sausage, fennel seeds, lives, capers, saffrons, lemon, polenta, honey, raisins, olives",Worcestershire Pear Tree,"blue cheese, pear, chestnut, potato, truffle oil"
11,3,Sura,IN,Middle Eastern Inspired Soda Bread,"za'atar, olives, mixed dried fruits, walnuts",Mama's Tomato Vine Harvest Loaf,"olive, sun-dried tomato, feta cheese"
11,4,Dave,IN,Honeycomb Explosion Brownies,"honeycomb, popping candy, milk chocolate ganache",Strawberry Splash White Chocolate Fraisier Cake,"strawberry , white chocolate, white chocolate crème mousseline, amaretto, almond liqueur"
11,4,Hermine,IN,"Raspberry, White Chocolate & Pistachio Brownies","white chocolate, raspberry, pistachio, chocolate, coffee","	Lemon & White Chocolate Cake","white chocolate, ganache, lemon syrup, lemond curd, itallian meringue buttercream, vanilla extract"
11,4,Laura,IN,Salted Caramel Brownie S'mores,"chocolate, hazelnut, salted caramel, italian meringue",Chocolate Heaven Cake,"white chocolate, italian meringue buttercream, blackcurrant jam"
11,4,Linda,IN,Treats of Christmas Past',"white chocolate, chopped mixed nuts, date, pistachio, turkish delights",English Rose Cake,"modeling chocolate, vanilla mascarpone cream, amaretto raspberry jam"
11,4,Loriea,OUT,NA,NA,NA,NA
11,4,Lottie,IN,Have Your Cake and Eat It' Brownies,"chocolate, pecan, raspberry cheesecake, raspberry",Nana and Papa's Sapphire Anniversary Cake,"white chocolate, passion fruit curd, lime drizzle"
11,4,Makbul,OUT,NA,NA,NA,NA
11,4,Marc,IN,Praline Brownies,"roasted macadamia nuts, praline buttercream, chocolate",White Chocolate & Raspberry Buttercream Celebration Cake,"white chocolate, raspberry swiss meringue buttercream"
11,4,Mark,STAR BAKER,"	'Gimmie S'mores' Brownies","chocolate chip cookie, italian meringue, caramelised cranberries",A Bake Off Birthday',"white chocolate, marul fruit liqueur, ground pistachios, lemon"
11,4,Peter,IN,Upside Down Brownies,"figs, pistachios, cinnamon, chocolate, medjool dates",Graduation Cake,"white chocolate, mango curd, coconut, yoghurt, chantilly whipped cream, chocolate"
11,4,Rowan,OUT,NA,NA,NA,NA
11,4,Sura,OUT,Double Chocolate Marshmallow Brownies,"dark chocolate, ruby chocolate, italian meringue",Strawberry & White Chocolate Celebration Cake,"chocolate, white chocolate, buttercream, strawberry and lemon jam"
11,5,Dave,IN,Thai Basil Chicken Pasties,"thai basil, chilli, chicken, jasmine rice","Chocolate, Mango and Lime Tart","chocolate, mango, lime, tequila"
11,5,Hermine,IN,Moroccan Tagine Pasties,"raisins, lemon, lamb tagine, chickpea",Lime Confit and Lemon Meringue Tart,"lemon curd, lime jelly, italian meringue"
11,5,Laura,STAR BAKER,Proper Tasty Pasties,"onion, cheddar, leeks, cream, dijon mustard, thyme",Kent Garden Tart,"italian meringue, key lime filling, ginger"
11,5,Linda,OUT,Spicy Indian Pasties,"spiced chicken, potato, coriander",Gypsy Tart,"chocolate, coffee, brandy, rosewater, vanilla"
11,5,Loriea,OUT,NA,NA,NA,NA
11,5,Lottie,IN,Toad-In-The-Hole-Less Pasties,"mashed potato, sausage, onion, sage, fennel gravy",Apple Tree Tart,"apple puree, caramelised apple, boozy apple slices, toffee popcorn crème diplomat"
11,5,Makbul,OUT,NA,NA,NA,NA
11,5,Marc,IN,Cornish Fish Pasties,"asparagus, monkfish, samphire",Posh Apple & Blackberry Pie,"blackberry jam, caramelised apple, chocolate cremeux, chocolate, sesame, glazed blackberries"
11,5,Mark,IN,Aloo Gobi Pasties,"aloo gobi, paneer cheese, tumeric, cumin, coriander, ginger, garlic, cauliflower",Mes-SAGE in a Bottle,"pear, sage, ginger, pear jam, ginger crème patissiere"
11,5,Peter,IN,Kedgeree Pasties,"haddock, white basmati rice, petit pois, boiled egg",Blackberry & Lemon Tart,"hazelnut, blackberry curd, caramelised nuts, lemon"
11,5,Rowan,OUT,NA,NA,NA,NA
11,5,Sura,OUT,NA,NA,NA,NA
11,6,Dave,IN,Chicken Shaped Katsu Curry Buns,"tumeric, chicken, katsu curry sauce",Matcha Shiba Inu Cake,"chocolate, match powder, rosewater, apple jam, vanilla buttercream"
11,6,Hermine,IN,Chicken Nikuman Panda Buns,"oyster sauce, spiced chicken, shitake mushroom, chilli",Strawberry Cherry Blossom Cake,"vanilla, strawberries, marshmallow fondant"
11,6,Laura,IN,Piggy Pork Belly Buns,"caramelised pork belly, hoisin, oyster sauce, sake, honey",Upside Down Pineapple Cake,"pineapple, coconut swiss meringue buttercream, lime and yuzu curd"
11,6,Linda,OUT,NA,NA,NA,NA
11,6,Loriea,OUT,NA,NA,NA,NA
11,6,Lottie,IN,Cheeseburger Steamed Buns,"beef, sun-dried tomato, gherkin, bacon, cheese, onion",Into the Japanese Woods,"lime, cherry cream, whisky fudge, black cherries"
11,6,Makbul,OUT,NA,NA,NA,NA
11,6,Marc,IN,Hmmmm Dhal' Steamed Buns,"mango, onion, smoked paprika, apple, lentil",Hamish the Dog Cake,"lemon swiss meringue buttercream, fondant, honey, tahini, ginger, soy bean powder"
11,6,Mark,OUT,Burger Buns,"gherkin, beef, onion, cheese, tomato puree",'Avo Baby',"avocado, marshmallow fondant, ruby chocolate, buttercream"
11,6,Peter,IN,Lamb Steamed Buns,"fish sauce, soy sauce, honey, cumin, lamb, garlic, ginger, chilli, coriander, spring onion, lamb cabbage",Dizzy the Shuttlecock,"asian pears, chestnut cream, white chocolate"
11,6,Rowan,OUT,NA,NA,NA,NA
11,6,Sura,OUT,NA,NA,NA,NA
11,7,Dave,IN,Novel Quiches,"potato, scrambled egg, sausage, beef, avocado",Tiramisu,"coffee ice cream, chocolate, almond liqueur, coffee ice cream, almond ice cream"
11,7,Hermine,STAR BAKER,Classic Quiches,"spinach, mushroom, salmon, leek, dijon mustard, gruyere cheese",Holiday Ice Cream Cake,"mango ice cream, coconut ice cream, palet breton, raspberry coulis"
11,7,Laura,IN,Pea & Pizza Quiches,"calabrian sausage, asparagus, nduja paste, mint, petit pois, goats cheese",Death by Chocolate,"salted caramel praline ice cream, chocolate ganache, brownie ice cream, chocolate, meringue"
11,7,Linda,OUT,NA,NA,NA,NA
11,7,Loriea,OUT,NA,NA,NA,NA
11,7,Lottie,OUT,English Breakfast & Summer Salad Quiches,"sausage, tomato, black pudding, baked beans, beetroot, walnut, goats cheese",80's Mix Tape',"chocolate ice cream, puffed rice, cherry jelly, blackberry mousse"
11,7,Makbul,OUT,NA,NA,NA,NA
11,7,Marc,IN,Cornish Quiches,"cod, cornish blue, haddock, davidstow cheddar, spelt, asparagus",Retro Ice Cream Parlour,"honey and hazelnut ice cream, blackberry mousse, butterscotch and pecan ice cream, chocolate joconde"
11,7,Mark,OUT,NA,NA,NA,NA
11,7,Peter,IN,Thai Curry & Salmon Quiches,"salmon, capers, white crab meat, chillies, asparagus, onions, coconut curry",Christmas Cake Surprise',"marzipan, italian meringue, brandy ice cream, christmas cake ice cream, chocolate, brandy snap"
11,7,Rowan,OUT,NA,NA,NA,NA
11,7,Sura,OUT,NA,NA,NA,NA
11,8,Dave,IN,Celebration of Citrus' Cheesecakes,"lemon, orange and passion fruit jelly, lime meringue, orange zest, orange juice",Newquay Beach Scene,"apple jelly, guava jelly, clotted cream mousse, chocolate fudge, cocoa powder"
11,8,Hermine,STAR BAKER,Passion Fruit Cheesecakes,"cinnamon, passion fruit jelly, meringue, lime zest","	Chocolate and Raspberry Mousse Jelly Cake","chocolate, kirsch syrup, chocolate mousse, strawberry mousse, white chocolate ganache"
11,8,Laura,IN,Passion Fruit Cheesecakes,"honey, oat, vanilla, passion fruit curd, passion fruit extract",Flower Power' Koi Jelly Art Cake,"raspberry mousse, white chocolate bavarois, jelly"
11,8,Linda,OUT,NA,NA,NA,NA
11,8,Loriea,OUT,NA,NA,NA,NA
11,8,Lottie,OUT,NA,NA,NA,NA
11,8,Makbul,OUT,NA,NA,NA,NA
11,8,Marc,OUT,New York Style Vanilla & Mascarpone Cheesecakes,"pecans, glazed apricots, almond, praline, vanilla mascarpone",Apple Jelly with Chocolate and Strawberry Mousse,"panna cotta, apple jelly, chocolate mousse, strawberry mousse, hazelnut meringue"
11,8,Mark,OUT,NA,NA,NA,NA
11,8,Peter,IN,Lime & Ginger Cheesecakes,"lime curd, toasted oat, gingernut, crystallised ginger, lime",Snow Globe Jelly Cake,"orange extract, cranberry extract"
11,8,Rowan,OUT,NA,NA,NA,NA
11,8,Sura,OUT,NA,NA,NA,NA
11,9,Dave,IN,"Honey Tequila, Passion Fruit & Mango Savarins","honey tequilla, mango and passion fruit curd, honey and cocoa chantilly cream, chocolate",Celebration of Chocolate Cube Cake,"chocolate mousse, white chocolate, milk chocolate, dark chocolate, caramel, coffee, hazelnut"
11,9,Hermine,OUT,Creme ét Abricot Baba au Rhum,"vanilla crème patissiere, apricot glaze, chantilly cream, chocolate",,"freeze-dried raspberries, coffee and praline mousse, joconde sponge, cherry sponge"
11,9,Laura,IN,"	Poached Pineapple, Kiwi and Passion Fruit Rum Babas","pineapple, kiwi, passion fruit, rum syrup, chantilly cream",Black Forest Cube Cakes,"dark chocolate, dark chocolate mousse, cherry, kirsch, white chocolate bavois"
11,9,Linda,OUT,NA,NA,NA,NA
11,9,Loriea,OUT,NA,NA,NA,NA
11,9,Lottie,OUT,NA,NA,NA,NA
11,9,Makbul,OUT,NA,NA,NA,NA
11,9,Marc,OUT,NA,NA,NA,NA
11,9,Mark,OUT,NA,NA,NA,NA
11,9,Peter,STAR BAKER,Strawberry & Elderflower Babas,"elderflower syrup, strawberries, strawberry crème diplomat, elderflower and lemon crème diplomat","	Chocolate, Raspberry & Pistachio Cube Cakes","chocolate, freeze-dried raspberry, pistachio praline, chocolate mousse, raspberry mousse, pistachio mousse"
11,9,Rowan,OUT,NA,NA,NA,NA
11,9,Sura,OUT,NA,NA,NA,NA
11,10,Dave,Runner-up,Caramel Latte' Custard Slice,"coffee custard, caramel, hazelnut",Tower to Redemption,"amaretto syrup, strawberry, crème mousseline, chocolate, raspberry crème patissiere, brownies, macadamia nuts, white chocolate"
11,10,Hermine,OUT,NA,NA,NA,NA
11,10,Laura,Runner-up,Yuzu Custard Slice,"chantilly cream, yuzu custard, raspberry, lemon and coconut gel, lime juice",Rainbow Dessert Tower,"carrot, walnut, orange and cinnamon cream cheese frosting, chocolate, spices, lemon, lime"
11,10,Linda,OUT,NA,NA,NA,NA
11,10,Loriea,OUT,NA,NA,NA,NA
11,10,Lottie,OUT,NA,NA,NA,NA
11,10,Makbul,OUT,NA,NA,NA,NA
11,10,Marc,OUT,NA,NA,NA,NA
11,10,Mark,OUT,NA,NA,NA,NA
11,10,Peter,WiNNER,Cranachan Custard Slice,"raspberry crème patissiere, whiskey crème patissiere, caramelised oat",Bonkers Bake Off Bubble Cake,"puffed rice, spiced friands, chocolate, orange, strawberry, lemon and blackberry crème diplomat, strawberry cream"
11,10,Rowan,OUT,NA,NA,NA,NA
11,10,Sura,OUT,NA,NA,NA,NA